simulation,total_infected,total_recovered,total_deaths_common,total_deaths_dengue,infected_mosquitoes,total_mosquitoes,duration_seconds
0,0,36,304,2,0,10,0.14926695823669434
1,0,27,295,3,0,3,0.17128920555114746
2,0,17,308,6,0,34,0.13749408721923828
3,0,40,292,2,0,5,0.17937207221984863
4,0,24,297,0,1,4,0.16708707809448242
5,0,30,324,2,0,16,0.15334820747375488
6,0,20,290,3,0,6,0.1720578670501709
7,0,28,296,2,1,4,0.2098839282989502
8,1,21,294,3,1,4,0.16725516319274902
9,0,28,290,2,0,72,0.140427827835083
