Humanos Saudáveis,Humanos Infectados,Humanos Recuperados,Mosquitos Saudáveis,Mosquitos Infectados,Mortes Comuns,Mortes por Dengue,Total Pessoas,Total Mosquitos,dia,casos_ativos_reais,recuperados_reais,obitos_reais
623,0,0,5830,61,377,0,623,5891,0,0,0,0
623,0,0,5692,59,377,0,623,5751,1,0,0,0
623,0,0,6302,110,377,0,623,6412,2,0,0,0
623,0,0,6161,110,377,0,623,6271,3,0,0,0
623,0,0,6005,108,377,0,623,6113,4,0,0,0
623,0,0,6584,167,377,0,623,6751,5,0,0,0
1000,0,0,6411,165,377,0,1000,6576,6,0,0,0
1000,0,0,6253,164,377,0,1000,6417,7,0,0,0
999,1,0,6840,225,377,0,1000,7065,8,100,0,0
998,2,0,6630,224,377,0,1000,6854,9,200,0,0
996,4,0,6436,224,377,0,1000,6660,10,400,0,0
995,5,0,6958,295,377,0,1000,7253,11,500,0,0
994,6,0,6779,291,377,0,1000,7070,12,600,0,0
992,8,0,6581,289,377,0,1000,6870,13,800,0,0
989,11,0,7228,357,377,0,1000,7585,14,1100,0,0
984,16,0,7041,356,377,0,1000,7397,15,1600,0,0
979,21,0,6812,357,377,0,1000,7169,16,2100,0,0
975,25,0,7351,407,377,0,1000,7758,17,2500,0,0
971,28,0,7110,408,377,1,999,7518,18,2800,0,100
967,31,0,6896,405,377,2,998,7301,19,3100,0,200
961,38,1,7514,481,377,2,1000,7995,20,3800,100,200
948,50,2,7277,486,377,2,1000,7763,21,5000,200,200
940,58,2,7048,491,377,2,1000,7539,22,5800,200,200
935,62,2,7932,593,377,3,999,8525,23,6200,200,300
926,67,4,7684,599,377,5,997,8283,24,6700,400,500
923,69,5,7486,602,377,5,997,8088,25,6900,500,500
912,76,8,8400,683,377,6,996,9083,26,7600,800,600
907,82,11,8132,694,377,6,1000,8826,27,8200,1100,600
902,83,14,7929,693,377,7,999,8622,28,8300,1400,700
893,90,16,8921,822,377,7,999,9743,29,9000,1600,700
878,99,20,8672,828,377,9,997,9500,30,9900,2000,900
869,104,24,8430,835,377,9,997,9265,31,10400,2400,900
861,107,27,9730,981,377,11,995,10711,32,10700,2700,1100
849,114,30,9439,996,377,13,993,10435,33,11400,3000,1300
850,115,34,9153,1017,377,14,999,10170,34,11500,3400,1400
842,120,37,10159,1124,377,14,999,11283,35,12000,3700,1400
834,121,43,9899,1142,377,15,998,11041,36,12100,4300,1500
823,129,44,9628,1183,377,17,996,10811,37,12900,4400,1700
810,138,47,11172,1338,377,18,995,12510,38,13800,4700,1800
797,147,49,10859,1368,377,20,993,12227,39,14700,4900,2000
784,155,54,10599,1384,377,20,993,11983,40,15500,5400,2000
777,158,65,12009,1548,377,20,1000,13557,41,15800,6500,2000
749,174,77,11725,1566,377,20,1000,13291,42,17400,7700,2000
738,176,83,11416,1582,377,23,997,12998,43,17600,8300,2300
722,185,89,12930,1762,377,24,996,14692,44,18500,8900,2400
711,190,94,12602,1776,377,25,995,14378,45,19000,9400,2500
696,200,99,12270,1805,377,25,995,14075,46,20000,9900,2500
